Name,Sex,Number,Year
Mary,F,67465,1946
Linda,F,52709,1946
Patricia,F,46297,1946
Barbara,F,45121,1946
Carol,F,34282,1946
Sandra,F,31691,1946
Nancy,F,28343,1946
Susan,F,28268,1946
Sharon,F,27824,1946
Judith,F,22307,1946
Judy,F,20479,1946
Linda,F,99685,1947
Mary,F,71686,1947
Patricia,F,51276,1947
Barbara,F,48791,1947
Sandra,F,34776,1947
Carol,F,33538,1947
Nancy,F,32443,1947
Susan,F,31953,1947
Sharon,F,28535,1947
Donna,F,23518,1947
Kathleen,F,22097,1947
Linda,F,96210,1948
Mary,F,68595,1948
Barbara,F,46829,1948
Patricia,F,46136,1948
Susan,F,35984,1948
Sandra,F,31060,1948
Nancy,F,29412,1948
Carol,F,28982,1948
Sharon,F,26141,1948
Kathleen,F,23256,1948
Donna,F,22032,1948
Linda,F,91013,1949
Mary,F,66863,1949
Patricia,F,46334,1949
Barbara,F,42599,1949
Susan,F,37707,1949
Sandra,F,30642,1949
Nancy,F,29241,1949
Carol,F,26781,1949
Kathleen,F,26353,1949
Sharon,F,25711,1949
Karen,F,22467,1949
Linda,F,80439,1950
Mary,F,65485,1950
Patricia,F,47948,1950
Barbara,F,41559,1950
Susan,F,38019,1950
Nancy,F,29619,1950
Deborah,F,29067,1950
Sandra,F,28896,1950
Carol,F,26163,1950
Kathleen,F,25704,1950
Sharon,F,24616,1950
Linda,F,73970,1951
Mary,F,65726,1951
Patricia,F,56446,1951
Deborah,F,42060,1951
Barbara,F,40612,1951
Susan,F,40226,1951
Nancy,F,30349,1951
Karen,F,28000,1951
Sandra,F,27666,1951
Kathleen,F,26719,1951
Carol,F,24781,1951
Linda,F,67082,1952
Mary,F,65645,1952
Patricia,F,53094,1952
Deborah,F,49808,1952
Susan,F,41342,1952
Barbara,F,39877,1952
Nancy,F,31731,1952
Karen,F,28959,1952
Debra,F,26832,1952
Sandra,F,26083,1952
Kathleen,F,25766,1952
Mary,F,64366,1953
Linda,F,61258,1953
Deborah,F,52188,1953
Patricia,F,51005,1953
Susan,F,44280,1953
Barbara,F,38458,1953
Debra,F,36856,1953
Nancy,F,30605,1953
Karen,F,29850,1953
Pamela,F,25754,1953
Sandra,F,25496,1953
Mary,F,68006,1954
Linda,F,55382,1954
Deborah,F,54685,1954
Patricia,F,49142,1954
Susan,F,47161,1954
Debra,F,45894,1954
Barbara,F,36377,1954
Karen,F,32455,1954
